"","speaker","date","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice"
"91","BUSH","October 11, 1992",0.647587215374974,0.313348652600794,0.33423856277418,0.0626697305201588,0.940045957802381,0.0208899101733863,0.793816586588678,0.0626697305201588,0.104449550866931,0.146229371213704
"92","COMPTON","October 11, 1992",0,0.896860986547085,0,0,0.896860986547085,0,2.24215246636771,0.448430493273543,0.896860986547085,0
"93","SANDER VANOCUR","October 11, 1992",0,0,0,0,1.17647058823529,0,1.17647058823529,0,0,0
"94","MASHEK","October 11, 1992",0.4149377593361,0.4149377593361,0.4149377593361,0,0,0,2.4896265560166,0,0,0.4149377593361
"95","VANOCUR","October 11, 1992",0,0,0,0,0.3003003003003,0,1.8018018018018,0,0,0.3003003003003
"96","CAROLE SIMPSON","October 15, 1992",0.444444444444444,0,0,0,0,0,2.66666666666667,0,0,0
"97","PRESIDENT GEORGE BUSH","October 15, 1992",0,0,0,0,0,0,0,0,0,0
"98","SIMPSON","October 15, 1992",0.247320692497939,0.0824402308326463,0.164880461665293,0,0.247320692497939,0,3.13272877164056,0,0,0
"99","AUDIENCE QUESTION","October 15, 1992",0.265017667844523,0,0.353356890459364,0.088339222614841,0.265017667844523,0,0.795053003533569,0,0,0.176678445229682
"100","ROSS PEROT","October 15, 1992",0.740740740740741,0,0,0,0.246913580246914,0,0.987654320987654,0,0,0
"101","BUSH","October 15, 1992",0.663487455940286,0.269541778975741,0.165871863985072,0,0.622019489944018,0,1.18183703089363,0.0207339829981339,0.124403897988804,0.0829359319925358
"102","GOVERNOR CLINTON","October 15, 1992",0,0,0.806451612903226,0,1.20967741935484,0,0.403225806451613,0,0,0
"103","CLINTON","October 15, 1992",0.862431636516618,0.12620950778292,0.16827934371056,0.0631047538914598,0.652082456878418,0,0.736222128733698,0,0.0420698359276399,0.0631047538914598
"104","PEROT","October 15, 1992",1.03092783505155,0.128865979381443,0.150343642611684,0.0644329896907216,0.665807560137457,0,0.322164948453608,0,0.0429553264604811,0.128865979381443
"105","AUDIENCE MEMBER","October 15, 1992",0,0,0,0,0,0,0,0,0,0
"106","JIM LEHRER","October 19, 1992",0.662251655629139,0.33112582781457,0,0,0,0,2.31788079470199,0,0,0
"107","GOVERNOR CLINTON","October 19, 1992",0.928792569659443,0,0.309597523219814,0,1.23839009287926,0,0.309597523219814,0,0,0
"108","LEHRER","October 19, 1992",0.111607142857143,0.167410714285714,0.0558035714285714,0,0.390625,0,3.62723214285714,0,0,0
"109","PRESIDENT BUSH","October 19, 1992",0,0,0,0,0,0,0,0,0,0
"110","BUSH","October 19, 1992",0.290516704710521,0.124507159161652,0.394272670678564,0.0622535795808259,0.622535795808259,0,1.09981323926126,0,0.0622535795808259,0.124507159161652
"111","PEROT","October 19, 1992",0.317223362567643,0.149281582384773,0.130621384586677,0.0746407911923866,1.1009516700877,0,0.466504944952417,0,0.0746407911923866,0.0933009889904833
"112","CLINTON","October 19, 1992",0.542299349240781,0.216919739696312,0.195227765726681,0,0.845986984815618,0.0433839479392625,1.21475054229935,0,0,0.0433839479392625
"113","ROOK","October 19, 1992",0,0,0,0,0.75187969924812,0,2.25563909774436,0,0,0
"114","THOMAS","October 19, 1992",0,0,0,0,0.862068965517241,0,2.58620689655172,0,0,0
"115","GIBBONS","October 19, 1992",0,0,0,0,0.862068965517241,0,2.58620689655172,0,0.862068965517241,0
"116","LEHRER","October 16, 1996",0,0,0.230680507497116,0,0.576701268742791,0,2.30680507497117,0,0.115340253748558,0
"117","DOLE","October 16, 1996",0.748502994011976,0.0544365813826892,0.217746325530757,0.136091453456723,0.666848121937942,0,1.04790419161677,0.0136091453456723,0.0816548720740338,0.136091453456723
"118","CLINTON","October 16, 1996",0.980655561526061,0.147770016120365,0.362708221386351,0.0537345513164965,0.792584631918324,0,0.523911875335841,0.0537345513164965,0.241805480924234,0.0940354648038689
"119","DR. BERKLEY","October 16, 1996",4.54545454545455,0,0,0,2.27272727272727,0,2.27272727272727,0,0,0
"120","MR. MILLIGAN","October 16, 1996",0,0,0,0,2,0,2,0,0,0
"121","MS. KELLY","October 16, 1996",0,0,0,0,2.17391304347826,0,4.34782608695652,0,0,0
"122","MR. DELGADO","October 16, 1996",1.61290322580645,0,0,0,0,0,0,0,0,0
"123","MR. FLECK","October 16, 1996",0,0,0,1.0989010989011,0,0,1.0989010989011,0,1.0989010989011,0
"124","MS. GONZALEZ","October 16, 1996",0,0,0,0,0,0,0,0,0,0
"125","MS. JOHNSON","October 16, 1996",0,0,0,0,0,0,3.03030303030303,0,0,0
"126","MS. NAUDIN","October 16, 1996",0,0,0,0,0,0,1.66666666666667,0,0,0
"127","MS. SANDERS","October 16, 1996",0,0,0,0,0,0,0,0,0,0
"128","MR. DAVID","October 16, 1996",0,0,0,0,0,0,0,0,0,0
"129","MR. BURNS","October 16, 1996",0,0,0,0,3.33333333333333,0,6.66666666666667,0,0,0
"130","MS. GIANNOTTI","October 16, 1996",3.17460317460317,0,0,0,3.17460317460317,0,0,0,0,0
"131","MR. GOLDFARB","October 16, 1996",0,0,0,2.38095238095238,0,0,0,0,0,0
"132","MS. STRATEGOS","October 16, 1996",6.33802816901408,0,0,0,0,0,1.40845070422535,0,0,0
"133","MS. SIEFERT","October 16, 1996",1.53846153846154,0,0,0,0,0,0,0,0,0
"134","MR. SMITH","October 16, 1996",0,0,0,0,0,0,0,0,0,0
"135","MR. KITE","October 16, 1996",0,0,0,0,4.16666666666667,0,5.55555555555556,0,2.77777777777778,0
"136","MS. DUBE","October 16, 1996",1.78571428571429,0,7.14285714285714,0,1.78571428571429,0,0.892857142857143,0,0.892857142857143,0
"137","LEHRER","October 6, 1996",0.315955766192733,0.394944707740916,0.0789889415481833,0.0789889415481833,1.02685624012638,0,3.3175355450237,0,0,0.157977883096367
"138","CLINTON","October 6, 1996",0.838744588744589,0.351731601731602,0.148809523809524,0.0270562770562771,0.82521645021645,0,0.635822510822511,0,0.0811688311688312,0.297619047619048
"139","DOLE","October 6, 1996",0.577750460971112,0.208973570989551,0.233558696988322,0.0122925629993854,0.688383527965581,0,1.21696373693915,0.0122925629993854,0.110633066994468,0.208973570989551
"140","MODERATOR","October 11, 2000",0.293973542381186,0.0979911807937286,0.391964723174914,0.0979911807937286,0.783929446349829,0,3.4296913277805,0,0,0
"141","BUSH","October 11, 2000",1.14616870573084,0.154539600772698,0.373470701867353,0.0901481004507405,0.952994204764971,0,0.940115904700579,0.025756600128783,0.231809401159047,0.051513200257566
"142","GORE","October 11, 2000",0.653188180404355,0.248833592534992,0.435458786936236,0.0777604976671851,1.11975116640747,0,0.870917573872473,0.046656298600311,0.0777604976671851,0.031104199066874
"143","MODERATOR","October 17, 2000",0.353606789250354,0.0707213578500707,0.0707213578500707,0,0.0707213578500707,0,4.87977369165488,0,0,0
"144","GORE","October 17, 2000",0.987349583461894,0.231410058623882,0.262264733107066,0.0617093489663684,0.817648873804381,0,0.910212897253934,0.0154273372415921,0.154273372415921,0.185128046899105
"145","MEMBER OF AUDIENCE","October 17, 2000",0.480769230769231,0.120192307692308,0,0,1.32211538461538,0,1.08173076923077,0,0,0.360576923076923
"146","BUSH","October 17, 2000",1.24847746650426,0.213154689403167,0.563337393422655,0.0609013398294763,0.776492082825822,0,0.867844092570037,0.0152253349573691,0.197929354445798,0.228380024360536
"147","MODERATOR","October 3, 2000",0.0571428571428571,0,0.0571428571428571,0,0.457142857142857,0,3.6,0.0571428571428571,0.0571428571428571,0.0571428571428571
"148","GORE","October 3, 2000",0.688136526286815,0.26149187998899,0.289017341040462,0,0.963391136801541,0,0.977153867327278,0.0137627305257363,0.0825763831544178,0.247729149463254
"149","BUSH","October 3, 2000",0.610646488782689,0.0929244656843223,0.318598168060534,0.0132749236691889,0.756670649143767,0,0.809770343820523,0.0132749236691889,0.1194743130227,0.199123855037834
"150","SPEAKERS","October 13, 2004",0,0,0,0,5,0,10,0,0,0
"151","SCHIEFFER","October 13, 2004",0.774840474020055,0.136736554238833,0.136736554238833,0,0.820419325432999,0,1.95989061075661,0,1.09389243391067,0.0455788514129444
"152","KERRY","October 13, 2004",1.21429557058093,0.289775079343176,0.386366772457569,0.0965916931143922,1.06250862425831,0,1.68345522285083,0.0551952532082241,0.620946598592521,0.151786946322616
"153","BUSH","October 13, 2004",1.66077738515901,0.106007067137809,0.212014134275618,0,1.09540636042403,0.0353356890459364,0.759717314487632,0.0530035335689046,0.3886925795053,0.106007067137809
"154","SPEAKERS","October 8, 2004",0,0,0,0,5.26315789473684,0,10.5263157894737,0,0,0
"155","GIBSON","October 8, 2004",0.0677506775067751,0.13550135501355,0,0,0.13550135501355,0,2.77777777777778,0,0,0
"156","OTIS","October 8, 2004",0,0,0,0,2.63157894736842,0,0,0,0,0
"157","KERRY","October 8, 2004",1.00095982448924,0.521047579871109,0.342794460441519,0.0137117784176608,1.45344851227204,0.0137117784176608,1.50829562594268,0.0685588920883038,0.191964897847251,0.17825311942959
"158","BUSH","October 8, 2004",0.881995133819951,0.638686131386861,0.258515815085158,0.0152068126520681,1.32299270072993,0.0304136253041363,0.775547445255474,0,0.136861313868613,0.182481751824818
"159","DAHLE","October 8, 2004",0,2.63157894736842,2.63157894736842,0,1.31578947368421,1.31578947368421,1.31578947368421,0,0,0
"160","BALDI","October 8, 2004",0,0,0,0,3.7037037037037,0,3.7037037037037,0,0,0
"161","WASHINGTON","October 8, 2004",1.51515151515152,0,0,0,3.03030303030303,0,1.51515151515152,0,0,0
"162","JACOBS","October 8, 2004",0,2.38095238095238,0,0,0,0,2.38095238095238,0,0,0
"163","FARLEY","October 8, 2004",0,0,0,0,0,0,8.69565217391304,0,0,0
"164","BRONSING","October 8, 2004",2.77777777777778,2.77777777777778,0,0,0,0,0,0,0,0
"165","HORSTMAN","October 8, 2004",0,0,0,0,0,0,3.57142857142857,0,0,3.57142857142857
"166","LAURENT","October 8, 2004",5.12820512820513,0,0,0,0,0,2.56410256410256,0,0,0
"167","VARNER","October 8, 2004",0,0,0,0,4,0,2,0,0,0
"168","HUBB","October 8, 2004",0,0,0,0,0,0,3.57142857142857,0,0,0
"169","BARROW","October 8, 2004",0,0,0,0,0,0,0,0,0,0
"170","FOWLER","October 8, 2004",0,0,6.15384615384615,0,4.61538461538461,0,1.53846153846154,0,0,0
"171","LONG","October 8, 2004",0,2.04081632653061,0,0,0,0,0,0,0,0
"172","MICHAELSON","October 8, 2004",0,0,0,0,0,0,3.57142857142857,0,0,0
"173","DEGENHART","October 8, 2004",0,2.5,0,0,0,0,0,0,0,0
"174","GRABEL","October 8, 2004",0,0,0,0,0,0,2.22222222222222,0,0,0
"175","SPEAKERS","September 30, 2004",0,0,0,0,4,0,8,0,0,0
"176","LEHRER","September 30, 2004",0,0.424929178470255,0,0.0708215297450425,0.84985835694051,0,2.8328611898017,0,0,0
"177","KERRY","September 30, 2004",0.271544947834786,0.557381735029298,0.0285836787194512,0.0285836787194512,2.01514934972131,0.071459196798628,1.97227383164213,0.0285836787194512,0.100042875518079,0.0142918393597256
"178","BUSH","September 30, 2004",0.627009646302251,0.659163987138264,0.112540192926045,0.128617363344051,1.68810289389068,0.160771704180064,1.04501607717042,0,0.112540192926045,0
"179","SPEAKERS","October 15, 2008",0,0,0,0,0,0,1.6260162601626,0,0,0
"180","MCCAIN","October 15, 2008",0.882177033492823,0.3438995215311,0.194377990430622,0.0448564593301435,0.897129186602871,0,0.3438995215311,0,0.0897129186602871,0.0598086124401914
